Achira (Canna, Arrowroot) | Scientific Names: Canna edulis | Family: Cannaceae
Iron Cross Begonia () | Scientific Names: Begonia masoniana | Family:
Iron Tree (Maui Sunset, Flame of the Woods) | Scientific Names: Ixora coccinea | Family: Rubiaceae
Ivy Peperomia (Plantinum Peperomia, Silver leaf Peperomia, Ivy leaf Peperomia) | Scientific Names: Peperomia griseoargentea | Family: Piperaceae
Jackson Brier () | Scientific Names: Smilax lanceolata | Family: Liliaceae
Jacob's Ladder (Carrion Flower) | Scientific Names: Smilax herbacea | Family: Liliaceae
Japanese Aralia (Formosa rice tree, Glossy-leaved paper plant, Big-leaf paper plant) | Scientific Names: Fatsia japonica | Family: Araliaceae
Japanese Holly Fern (Fishtail Fern, Holly Fern) | Scientific Names: Cyrtomium falcatum | Family: Polypodaceae
Japanese Moss (Club Moss, Cushion Moss, Krauss' Spikemoss, Spreading Club Moss, Trailing Irish Moss, Irish Moss) | Scientific Names: Selaginella kraussiana | Family: Selaginellaceae
Japanese Pittosporum (Australian laurel, Mock orange) | Scientific Names: Pittosporum tobira | Family: Pittosporaceae
Jasmine () | Scientific Names: Jasminium species | Family: Mimosaceae
Jewel Orchid (Golden Lace Orchid) | Scientific Names: Haemaria discolor | Family: Orchidaceae
Joseph's Coat (Chicken Gizzard, Yellow Bloodleaf, Bloodleaf) | Scientific Names: Iresine herbstii | Family: Amaranthaceae
Jungle Geranium () | Scientific Names: Ixora javanica | Family: Rubiaceae
Kaempferia (Peacock Ginger) | Scientific Names: Kaempferia | Family: Zingiberaceae
Kahali Ginger () | Scientific Names: Hedychium gardnerianum | Family:
Kenilworth Ivy (Coliseum Ivy) | Scientific Names: Cymbalaria muralis | Family: Scrophulariaceae
Kentia Palm (Forster Senty Palm) | Scientific Names: Howea forsteriana | Family: Howea forsteriana
Kenya Violet (Usambra violet) | Scientific Names: Santpaulia confusa | Family: Gesneraceae
Kharoub (Carob Tree, Sugar Pods, Locust Pods, Beans) | Scientific Names: Ceratonia siliqua | Family:
King and Queen Fern (Hen and Chickens Fern, Spleenwort, Parsley fern) | Scientific Names: Asplenium bulbiferum | Family: Polypodaceae
King Nut () | Scientific Names: Carya laciniosa | Family: Juglandaceae
King of the Forest (Golden Jewel Orchid) | Scientific Names: Anoectuchilus setaceus | Family: Orchidaceae
Kuang-yen-pa-hsieh (China Root, Ti-hu-ling, Shiny Leaf Smilax, Cat Brier) | Scientific Names: Smilax glabra | Family: Liliaceae
Lace Flower Vine (Chocolate Soldier) | Scientific Names: Episcia dianthiflora | Family: Gesneriaceae
Lace Orchid () | Scientific Names: Odontoglossum crispum | Family: Orchidaceae
Ladies Ear Drops () | Scientific Names: Fuchsia | Family: Onagraceae
Lady Lou (Flame Violet, Red Violet, Flame African Violet) | Scientific Names: Episcia reptans | Family: Gesneriaceae
Lady Palm () | Scientific Names: Rhapis flabelliformus | Family: Arecaceae
Lady Slipper (Giant Touch-Me-Not, Buzzy Lizzy, Patient Lucy, Patient Plant, Tangerine Impatience, Impatience Plant) | Scientific Names: Impatiens spp. | Family: Balsaminaceae
Lagerstroemia Indica (Crepe/Crape Myrtle) | Scientific Names: Lagerstroemia indica | Family: Lythraceae
Lance Pleomele () | Scientific Names: Dracaena | Family: Rusaceae
Laurel-Leaved Greenbrier (Blaspheme vine, Bamboo Vine) | Scientific Names: Smilax laurifolia | Family: Liliaceae
Leather Peperomia () | Scientific Names: Peperomia crassifolia | Family:
Leopard Lily () | Scientific Names: Lachenalia lilacina | Family: Hyacinthaceae
Leopard Orchid (Tiger Orchid) | Scientific Names: Dendrobium gracilicaule | Family: Orchidaceae
Lesser Snapdragon () | Scientific Names: Antirrhinum orontium | Family: Mimosaceae
Lily of the Valley Orchid () | Scientific Names: Odontoglossum pulchellum | Family: Orchidaceae
Linden () | Scientific Names: Tilia americana | Family: Tiliaceae
Lipstick Plant () | Scientific Names: Aeschynanthus humilis | Family: Gesneraceae
Little Fantasy Peperomia (Green Ripple Peperomia, Emerald Ripple Peperomia) | Scientific Names: Peperomia caperata | Family: Piperaceae
Little Zebra Plant () | Scientific Names: Haworthia subfasciata | Family: Aloaceae
Living Rock Cactus (African living rock, Mimicry plant) | Scientific Names: Pleiospilos bolusii | Family: Aizoaceae
Living Stones (Kiawe, Mesquite) | Scientific Names: Lithops naureeniae | Family: Aizoaceae
Locust Pods (Carob Tree, Sugar Pods, Kharoub, Beans) | Scientific Names: Ceratonia siliqua | Family:
Madagascar Jasmine (Wax Flower, Bride's Flower, Clustered Wax Flower) | Scientific Names: Stephanotis floribunda | Family: Ascleopiadaceae
Magnolia Bush (Star Magnolia) | Scientific Names: Magnolia stellata | Family: Magnoliaceae
Mahonia (Oregon Grape, Oregon Grape Holly, Mahonia aguifolium, Holly-leaved berry) | Scientific Names: Mahonia aquifolium | Family: Berberidaceae
Majesty Palm (Majestic Palm) | Scientific Names: Ravenea rivularis | Family: Aracaceae
Malabar Gourd (Fig-leaf gourd) | Scientific Names: Cucurbita ficifolia | Family: Cucurbitaceae
Malaysian Dracaema (Song of India) | Scientific Names: Pleomele reflexa | Family: Rusaceae
Manila Palm (Dwarf Royal Palm, Christmas Palm) | Scientific Names: Veitchia merrillii | Family: Arecaceae
Mapleleaf Begonia () | Scientific Names: Begonia cleopatra | Family: Begoniaceae
Maranta () | Scientific Names: Calathea insignis | Family: Marantaceae
Marbled Fingernail (Fingernail Plant) | Scientific Names: Neoregelia spectabilis | Family: Bromeliaceae
Mariposa Lily (Sego Lily) | Scientific Names: Calochortus gunnisonii | Family: Liliaceae
Maroon (Copper Rose) | Scientific Names: Echeveria multicaulis | Family: Crassulaceae
Maroon Chenille Plant (Blue Echeveria, Painted Lady, Copper Rose, Wax Rosette, Plush Plant) | Scientific Names: Echeveria derenbergii | Family: Crassulaceae
Mary-Bud (Marigold, Garden Marigold, Gold bloom, Pot Marigold) | Scientific Names: Calendula officinalis | Family: Compositae
Measles Plant (Polka Dot Plant, Flamingo Plant, Baby’s Tears, Freckle Face) | Scientific Names: Acantha | Family: Acanthaceae
Metallic Leaf Begonia () | Scientific Names: Begonia metallica | Family: Begoniaceae
Metallic Peperomia () | Scientific Names: Peperomia caperata | Family: Piperaceae
Mexican Firecracker () | Scientific Names: Echeveria Pulinata | Family: Crassulaceae
Mexican Rosettes () | Scientific Names: Echevaria | Family: Crassulaceae
Mexican Snowballs () | Scientific Names: Echevaria | Family: Crassulaceae
Miniature Date Palm (Pygmy Date Palm, Robellini Palm) | Scientific Names: Phoenix robellinii | Family: Arecaceae
Miniature Fish Tail (Parlor Palm) | Scientific Names: Chamaedorea elegans | Family: Palmae
Miniature Maranta () | Scientific Names: Calathea micans | Family: Saxifragaceae
Miniature Marble Plant () | Scientific Names: Neoregelia spectabilis | Family: Bromeliaceae
Mistletoe Cactus () | Scientific Names: Rhipsalis cassutha | Family: Cactaceae
Mockernut Hickory (Squarenut) | Scientific Names: Carya tomentosa | Family: Juglandaceae
Mosaic Plant (Jewel Plant, Siver Nerve, Nerve Plant, Silver Threads) | Scientific Names: Bertolonia mosaica | Family: Melostomataceae and Acanthaceae
Mosaic Vase () | Scientific Names: Guzmania musaica | Family: Bromeliaceae
Moss Agate (Flame Violet, Red Violet, Flame African Violet, Lady Lou) | Scientific Names: Episcia reptans | Family: Gesneriaceae
Moss Campion (Bladder Campion, Cushion Pink, Dwarf Silene, Catchfly) | Scientific Names: Silene acaulis | Family:
Moss Fern (Club Moss, Irish Moss, Krauss' Spikemoss, Spreading Club Moss, Trailing Irish Moss, Cushion Moss) | Scientific Names: Selaginella kraussiana | Family: Selaginellaceae
Moss Phlox () | Scientific Names: Phlox subulata | Family: Polemoniaceae
Mossy Campion (Bladder Campion, Cushion Pink, Dwarf Silene, Catchfly, Moss Campion) | Scientific Names: Silene acaulis | Family:
Mother Fern (King and Queen Fern, Spleenwort, Parsley Fern, Hen and Chickens Fern) | Scientific Names: Asplenium bulbiferum | Family: Polypodaceae
Mother of Pearl (Ghost Plant) | Scientific Names: Secum weinbergii | Family: Crassulaceae
Mother Spleenwort (King and Queen Fern, Spleenwort, Parsley Fern, Hen and Chickens Fern, Mother Fern) | Scientific Names: Asplenium bulbiferum | Family: Polypodaceae
Mountain Camellia (Showy Camellia) | Scientific Names: Stewartia ovata | Family: Theaceae
Mountain Grape (Oregon Grape, Oregon Grape Holly, Mahonia Aguifolium, Holly-Leaved Berry, Mahonia) | Scientific Names: Mahonia aquifolium | Family: Berberidaceae
Mulberry Bush Greenbrier () | Scientific Names: Smilax sp. | Family: Liliaceae
Mulberry Tree () | Scientific Names: Morus sp. | Family: Moraceae
Musa Paradisiaca (Banana, Edible Banana, Plantain) | Scientific Names: Musa acuminata | Family: Musaceae
Muscari Armeniacum (Grape Hyacinth) | Scientific Names: Muscari armeniacum | Family: Hyacinthaceae
Muskmelon () | Scientific Names: Cucumis melo | Family: Cucurbiaceae
Nasturtium () | Scientific Names: Tropaeolum majus | Family: Tropaeolaceae
Natal Plum () | Scientific Names: Carissa grandiflora | Family: Apocynaceae
Neanthe Bella Palm (Neanthebella) | Scientific Names: Chamaedorea elegans | Family: Araceae
Nematanthus spp. (Candy Corn Plant) | Scientific Names: Hypocyrta nummularia | Family: Gesneriaceae
Neoregelia (Crimson Cup, Marbled Fingernail, Blushing Bromeliad, Ossifragi Vase, Miniature Marble Plant, Aregelia) | Scientific Names: Neoregalia spp. | Family: Bromiliaceae
Nerve Plant (Jewel Plant, Siver Nerve, Mosaic Plant, Silver Threads) | Scientific Names: Bertolonia mosaica | Family: Melostomataceae and Acanthaceae
Night Blooming Cereus (Queen of the Night, Pitaya, Honolulu Queen) | Scientific Names: Hylocereus undatus | Family: Cactaceae
Old Man Cactus () | Scientific Names: Cephalocereus senilis | Family: Cactaceae
Old World Orchid (Cirrhopetalum) | Scientific Names: Bulbophyllum appendiculatum | Family: Orchidaceae
Orange Star () | Scientific Names: Guzmania lingulata minor | Family: Bromeliaceae
Oregon Grape (Mountain Grape, Oregon Grape Holly, Mahonia Aguifolium, Holly-Leaved Berry, Mahonia) | Scientific Names: Mahonia aquifolium | Family: Berberidaceae
Ossifragi Vase (Crimson Cup, Marbled Fingernail, Blushing Bromeliad, Neoregelia, Miniature Marble Plant, Aregelia) | Scientific Names: Neoregalia spp. | Family: Bromiliaceae
Paddys Wig (Japanese moss, Peace-in-the-home, Corsican Carpet, Angel's Tears, Irish Moss, Mind-your-own-business, Pollyanna vine) | Scientific Names: Soleirolia soleirolii | Family: Urticaceae
Painted Lady (Copper Rose) | Scientific Names: Echeveria multicaulis | Family: Crassulaceae
Pampas Grass () | Scientific Names: Cortaderia selloana | Family: Poaceae
Panamiga (Friendship Plant) | Scientific Names: Pilea involucrata | Family: Urticaceae
Pansy Orchid () | Scientific Names: Miltonia roezlii alba | Family: Orchidaceae
Paradise Palm (Kentia palm, Forster Senty Palm) | Scientific Names: Howea forsteriana | Family: Howea forsteriana
Parlor Palm (Miniature Fish Tail Dwarf Palm, Good Luck Palm, Bamboo Palm) | Scientific Names: Chamaedorea elegans | Family: Palmae
Parsley Fern (King and Queen Fern, Spleenwort, Mother Fern, Hen and Chickens Fern) | Scientific Names: Asplenium bulbiferum | Family: Polypodaceae
Patient Lucy (Giant Touch-Me-Not, Impatience Plant, Patient Plant, Tangerine Impatience, Buzzy Lizzie) | Scientific Names: Impatiens spp. | Family: Balsaminaceae
Patient Plant (Giant Touch-Me-Not, Impatience Plant, Patient Lucy, Tangerine Impatience, Buzzy Lizzie) | Scientific Names: Impatiens spp. | Family: Balsaminaceae
Peace Begonia () | Scientific Names: Begonia rex 'peace' | Family: Begoniaceae
Peacock Plant (Peacock Ginger, Kaempferia) | Scientific Names: Kaempferia | Family: Zingiberaceae
Pearl Plant () | Scientific Names: Haworthia margaritifera | Family: Liliaceae
Pearly Dots () | Scientific Names: Haworthia margaritifera | Family: Liliaceae
Peperomia Hederifolia (Plantinum Peperomia, Silver Leaf Peperomia, Ivy Leaf Peperomia, Ivy Peperomia) | Scientific Names: Peperomia griseoargentea | Family: Piperaceae
Peperomia Peltfolia () | Scientific Names: Peperomia peltifolia | Family: Piperaceae
Peperomia Rotundifolia () | Scientific Names: Peperomia rotundifolia | Family: Piperaceae
Peperomia Sandersii () | Scientific Names: Peperomia sandersii | Family: Piperaceae
Pepper Face (Baby Rubber Plant, American Rubber Plant) | Scientific Names: Peperomia obtusifolia | Family: Pipericeae
Persian Violet (Arabian gentian, German Violet) | Scientific Names: Exacum affine | Family: Gentianaceae
Petunia () | Scientific Names: Petunia species | Family: Solanaceae
Phalaenopsis Orchid (Moth Orchid, Moon Orchid) | Scientific Names: Phalaenopsis sp. | Family: Orchidaceae
Pheasant Plant (Zebra Plant) | Scientific Names: Cryptanthus zonatus | Family: Bromeliaceae
Piggy Back Plant (Pick-a-back plant, Mother of Thousands, Curiosity plant) | Scientific Names: Tolmeia menziesii | Family: Saxifragaceae
Pignut Hickory () | Scientific Names: Carya glabra | Family: Julandaceae
Pilea Microphylla (Artillery Plant) | Scientific Names: Pilea microphylla | Family: Urticaceae
Pilea Mucosa (Artillery Plant) | Scientific Names: Pilea microphylla | Family: Urticaceae
Pincushion Flower () | Scientific Names: Leucospermum incisum | Family: Protaeceae
Pink Brocade () | Scientific Names: Episcia cultivar | Family: Gesneriaceae
Pink Pearl () | Scientific Names: Begonia semperflorens cultivar | Family: Begoniaceae
Pink Splash (Flamingo Plant, Polka Dot Plant, Measles Plant, Baby’s Tears, Freckle Face) | Scientific Names: Hypoestes phyllostachya | Family: Acanthaceae
Pink Starlite (Starfish Plant, Green Earth Star, Vary-Leaf Star, Earth Star) | Scientific Names: Cryptanthus bivattus minor | Family: Bromeliaceae
Pirliteiro (Haws) | Scientific Names: Crataegus species | Family: Rosaceae
Pitaya (Queen of the Night, Night Blooming Cereus, Honolulu Queen) | Scientific Names: Hylocereus undatus | Family: Cactaceae
Plantanus Occidentalis (oriental plane) | Scientific Names: Plantanus occidentalis | Family: Plantanaceae
Platinum Peperomia (Ivy Peperomia, Silver Leaf Peperomia, Ivy Leaf Peperomia) | Scientific Names: Peperomia griseoargentea | Family: Piperaceae
Platycerium Alicicorne (common staghorn fern) | Scientific Names: Platycerium alicicorne | Family: Polypodaceae
Plumbago Larpentiae () | Scientific Names: Ceratostigma larpentiae | Family: Plumbaginaceae
Plush Plant () | Scientific Names: Echeveria pulvoliver | Family: Crassulaceae
Poison Ivy (poison oak, poison sumac) | Scientific Names: Toxicodendron species | Family: Anacardiaceae
Poison Oak (Similar: Poison Ivy, Poison Sumac) | Scientific Names: Toxicodendron species | Family: Anacardiaceae
Poison Sumac (Similar: Poison Ivy, Poison Oak) | Scientific Names: Toxicodendron species | Family: Anacardiaceae
Polka Dot Plant (Flamingo Plant, Pink Polka Dot Plant, Measles Plant, Baby’s Tears, Freckle Face) | Scientific Names: Hypoestes phyllostachya | Family: Acanthaceae
Polystichum Falcatum (Fishtail Fern) | Scientific Names: Cyrtomium falcatum | Family: Polypodaceae
Pony Tail (Elephant-Foot Tree, Pony Tail Plant, Bottle Palm) | Scientific Names: Beaucarnea recurvata | Family: Agavaceae
Porcelain Flower (Hindu Rope Plant) | Scientific Names: Hoya carnosa 'krinkle kurl' | Family: Asclepiadaceae
Pot Marigold (Marigold, Mary Bud, Gold bloom) | Scientific Names: Calendula officinalis | Family: Compositae
Prairie Lily (giant rain lily, hill country rain lily) | Scientific Names: Zephyranthes drummondii | Family: Amaryllidaceae
Prairie Snowball (sand verbena, wild lantana) | Scientific Names: Abronia fragrans | Family:
Prayer Plant (Maranta) | Scientific Names: Calathea insignis | Family: Marantaceae
Prickly Bottlebrush (Bottlebrush, Weeping Bottlebrush, Crimson Bottlebrush) | Scientific Names: Callistemon species | Family: Myrtaceae
Prostrate Coleus () | Scientific Names: Plectranthus oetendahlii | Family: Lamiaceae
Pupleosier Willow () | Scientific Names: Salix purpurea | Family: Saliaceae
Purple Baby Tears (fairy elephant's feet) | Scientific Names: Frithia pulchra | Family: Aizoaceae
Purple Passion Vine (Velvet Plant, Royal Velvet Plant, Purple Velvet Plant) | Scientific Names: Gynura aurantica | Family: Asteraceae
Purple Velvet Plant (Velvet Plant, Royal Velvet Plant, Purple Passion Vine) | Scientific Names: Gynura aurantica | Family: Asteraceae
Purple Waffle Plant (waffle plant) | Scientific Names: Hemigraphis exotica | Family: Acanthaceae
Queencup (Bride's Bonnet) | Scientific Names: Clintonia uniflora | Family: Liliaceae
Queens Spiderwort () | Scientific Names: Dichorisandra reginae | Family: Commelinaceae
Queensland Arrowroot (Achira, Canna, Arrowroot) | Scientific Names: Canna edulis | Family: Cannaceae
Rabbits Foot Fern (Hare Fern, Squirrel Foot Fern, Deer Foot Fern, Ball Fern) | Scientific Names: Davallia spp. | Family: Polypodiaceae
Rainbow Orchid () | Scientific Names: Epidendrum prismatocarpum | Family: Orchidaceae
Red African Violet (Flame African Violet) | Scientific Names: Episcia reptans | Family: Gesneriaceae
Red Berried Greenbrier (red-berried-bamboo) | Scientific Names: Smilax walteria | Family: Liliaceae
Red Edge Peperomia () | Scientific Names: Peperomia clusiifolia | Family: Piperaceae
Red Hawthorne (Haws, Pirliteiro) | Scientific Names: Crataegus species | Family: Rosaceae
Red Palm Lily (red frutied palm lily) | Scientific Names: Cordyline rubra | Family: Agavaceae
Red Veined Prayer (Maranta, Prayer Plant) | Scientific Names: Calathea insignis | Family: Marantaceae
Reed Palm (Bamboo palm, Miniature Fish Tail Dwarf Palm, Parlor Palm, Good Luck Palm) | Scientific Names: Chamaedorea elegans | Family: Palmae
Resurrection Lily (Peacock Ginger, Kaempferia) | Scientific Names: Kaempferia | Family: Zingiberaceae
Rex Begonia () | Scientific Names: Begonia rex | Family: Begoniaceae
Rhynchophorum (Pepper Face, Baby Rubber Plant, American Rubber Plant) | Scientific Names: Peperomia obtusifolia | Family: Pipericeae
Ribbon Plant (Chlorophytum Comosum) (anthericum, walking anthericum, spider ivy, spider plant) | Scientific Names: Chlorophytum comosum | Family: Liliaceae
Roosevelt Fern (Bold Sword Fern) | Scientific Names: Nephrolepis biserrata | Family: Dryopteridaceae
Rose () | Scientific Names: Rosa Species | Family: Rosaceae
Russian Olive (Autumn Olive, Silverberry) | Scientific Names: elaeagnus species | Family: Elaeagnaceae
Saffron Spike Zebra () | Scientific Names: Aphelandra squarrosa | Family:
Saint Bernards Lily () | Scientific Names: Anthericum liliago | Family: Liliaceae
Sand Lily (mountain lily, star lily) | Scientific Names: Leucocrinum montanum | Family: Liliaceae
Sand Verbena (Prairie Snowball, Wild Lantana) | Scientific Names: Abronia fragrans | Family:
Satin Pellionia () | Scientific Names: Pellonia pulchra | Family: Urticaceae
Sawbrier (Wild Sasparilla) | Scientific Names: Smilax glauca | Family: Liliaceae
Scabious (Pincushion Flower) | Scientific Names: Leucospermum incisum | Family: Protaeceae
Scarborough Lily () | Scientific Names: Vallota speciosa | Family: Amaryllidaceae
Scarlet Orchid (Florida Butterfly Orchid) | Scientific Names: Epidendrum tampense | Family: Orchidaceae
Scarlet Sage (Texas Sage) | Scientific Names: Salvia coccinea | Family: Labiatae
Sego Lily (Mariposa Lily) | Scientific Names: Calochortus gunnisonii | Family: Liliaceae
Shagbark Hickory (Big Shellbark Hickory, Shellbark Hickory, Big Shagbark Hickory) | Scientific Names: Carya laciniosa | Family: Juglandaceae
Shan Ku'ei-lai (Cat Brier, China Root, Ti-hu-ling, Shiny Leaf Smilax) | Scientific Names: Smilax glabra | Family: Liliaceae
Shellbark Hickory (Big Shellbark Hickory) | Scientific Names: Carya laciniosa | Family: Juglandaceae
Shrimp Cactus () | Scientific Names: Schlumbergera russelliana | Family: Cactaceae
Silver Bell (opossum wood, snowbell tree, shittimwood) | Scientific Names: Halesia carolina | Family: Styrnaceae
Silver Berry (Autumn Olive, Russian Olive) | Scientific Names: elaeagnus species | Family: Elaeagnaceae
Silver Heart () | Scientific Names: Peperomia caperata | Family: Piperaceae
Silver Pink Vine () | Scientific Names: Hoya pubicalyx | Family: Asclepiadaceae
Silver Star (Cape Marigold) | Scientific Names: Cryptanthus lacerdae | Family: Bromeliaceae
Silver Table Fern () | Scientific Names: Pteris sp. | Family: Pteridaceae
Silver Tree Anamiga () | Scientific Names: NONE LISTED | Family:
Slender Deutzia () | Scientific Names: Deutzia gracilis | Family: Saxifragaceae
Small Fruited Hickory () | Scientific Names: Carya glabra | Family: Juglandaceae
Smilax Tamnoides Vas (Hellfetter, Hagbrier) | Scientific Names: Smilax hispida | Family: Liliaceae
Speckled Wood Lily () | Scientific Names: Clintonia umbelluata | Family: Liliaceae
Spice Orchid () | Scientific Names: Epidendrum atropurpeum | Family: Orchidaceae
Spice Orchid (Fiery Reed Orchid) | Scientific Names: Epidendrum ibaguense | Family: Orchidaceae
Spider Flower () | Scientific Names: Cleome hasserlana | Family: Capparaceae
Spider Ivy (Ribbon Plant, Anthericum, Spider Ivy) | Scientific Names: Chlorophytum comosum | Family: Liliaceae
Spider Plant (Ribbon Plant, Anthericum, Spider Ivy) | Scientific Names: Chlorophytum comosum | Family: Liliaceae
Star Jasmine () | Scientific Names: Trachelospermum jasminoides | Family: Apocynaceae
Star Lily (Mountain Lily, Sand Lily) | Scientific Names: Leucocrinum montanum | Family: Liliaceae
Star Plant (Starfish Plant, Green Earth Star, Vary-Leaf Star, Pink Starlite) | Scientific Names: Cryptanthus bivattus minor | Family: Bromeliaceae
Strawberry (wild strawberry) | Scientific Names: Fragaria | Family: Rosaceae
Striped Blushing (Crimson Cup, Marbled Fingernail, Blushing Bromeliad, Neoregelia, Miniature Marble Plant, Aregelia) | Scientific Names: Neoregalia spp. | Family: Bromiliaceae
Sugar Pods (Carob Tree, Locust Pods, Kharoub, Beans) | Scientific Names: Ceratonia siliqua | Family:
Sulfur Flower (Umbrella Plant, Wild Buckweat) | Scientific Names: Eriogonium umbellatum | Family: Polygonaceae
Summer Hyacinth () | Scientific Names: Galtonia | Family: Hyacinthaeae
Sunflower (swamp sunflower) | Scientific Names: helianthus angustifolius | Family: Compositae
Swamp Sunflower (Sunflower) | Scientific Names: helianthus angustifolius | Family: Compositae
Swedish Ivy (Creeping Charlie) | Scientific Names: Plectranthus australis | Family: Pilea: Uriticaeae; Plectranthus: Lamiaceae
Sweetheart Hoya (wax hearts, valentine hoya) | Scientific Names: Hoya kerrii | Family: Asclepiadaceae
Sword Fern (Bold Sword Fern, Roosevelt Fern) | Scientific Names: Nephrolepis biserrata | Family: Dryopteridaceae
Tahitian Bridal Veil (Gibasis Geniculata) | Scientific Names: tradescantia multiflora | Family: Commelinaceae
Tailed Orchid () | Scientific Names: Masdevallia | Family: Orchidaceae
Tall Feather Fern (Bold Sword Fern, Sword Fern, Roosevelt Fern) | Scientific Names: Nephrolepis biserrata | Family: Dryopteridaceae
Tall Mahonia (Oregon Grape, Oregon Grape Holly, Mahonia Aguifolium, Holly-Leaved Berry, Mahonia) | Scientific Names: Mahonia aquifolium | Family: Berberidaceae
Tangerine Impatience (Giant Touch-Me-Not, Buzzy Lizzy, Patient Lucy, Patient Plant, Tangerine Impatience, Impatience Plant, Lady Slipper) | Scientific Names: Impatiens spp. | Family: Balsaminaceae
Teasel Gourd (Hedgehog Gourd) | Scientific Names: Cucumis dipsaceus | Family: Cucurbitaceae
Texas Sage (Scarlet Sage) | Scientific Names: Salvia coccinea | Family: Labiatae
Thea Japonica (Common Camellia, Peony Camellia) | Scientific Names: Thea japonica | Family: Theaceae
Thimble Cactus () | Scientific Names: Mammillaria fragilis | Family: Cactaceae
Thorn Apple (Weisdornbluten, Blackthorn, Black Hawthorn, Thorn Plum, Pirliteiro, Red Hawthorn, May Bush, Oxyacantha, Haw Apple, Black Haw, Aubepine) | Scientific Names: Crataegus douglasii | Family: Rosaceae
Ti hu-ling (China Root, Ti-hu-ling, Shiny Leaf Smilax, Cat Brier, Kuang-yen-pa-hsieh) | Scientific Names: Smilax glabra | Family: Liliaceae
Tickseed (coreopsis) | Scientific Names: Coreopsis californica | Family: Compositae
Tiger Orchid (Golden Lace Orchid, Jewel Orchid) | Scientific Names: Haemaria discolor | Family: Orchidaceae
Toad Spotted Cactus () | Scientific Names: Stapelia variegata | Family:
Torch Lily (red hot poker, poker plant) | Scientific Names: Kniphofia | Family: Asphodelaceae
Tous-les-mois (Achira, Canna, Arrowroot) | Scientific Names: Canna edulis | Family: Cannaceae
Trailing Peperomia () | Scientific Names: Peperomia prostata | Family: Piperaceae
Tree Cactus () | Scientific Names: Opuntia species | Family: Cactaceae
Tree Gloxinia () | Scientific Names: Kohleria lindeniana | Family: Gesneriaciae
Tropical Moss (Cushion Moss, Irish Moss, Krauss' Spikemoss, Spreading Club Moss, Trailing Irish Moss) | Scientific Names: Selaginella kraussiana | Family: Selaginellaceae
True Cantaloupe (cantaloupe) | Scientific Names: Cucumis melo | Family: Cucurbitaceae
Tu Fu-Ling (Cat Brier, China Root, Ti-hu-ling, Shiny Leaf Smilax) | Scientific Names: Smilax glabra | Family: Liliaceae
Tulip Poplar (tulip tree) | Scientific Names: Liriodendron tulipifera | Family:
Turban Squash () | Scientific Names: Cucurbita maxima cv turbaniformis | Family: Cucurbitaceae
Turf Lily (lilyturf) | Scientific Names: NONE LISTED | Family:
Umbrella Plant (Sulfur Flower, Wild Buckweat) | Scientific Names: Eriogonium umbellatum | Family: Polygonaceae
Urbinia Agavoides (Hens and Chickens, Mother Hens and Chicks, Chickens and Hens) | Scientific Names: Echeveria elegans | Family: Crassulaceae
Usambara Violet (Kenya Violet) | Scientific Names: Santpaulia confusa | Family: Gesneraceae
Variegated Laurel (speedy henry) | Scientific Names: Tradescantia flumeninsis | Family: Commelinaceae
Variegated Wandering Jew (speedy henry, wandering jew) | Scientific Names: Tradescantia flumeninsis | Family: Commelinaceae
Variegated Wax Plant () | Scientific Names: Echeveria sp. | Family:
Velvet Plant (Velvet Plant, Royal Velvet Plant, Purple Velvet Plant, Purple Passion Vine) | Scientific Names: Gynura aurantica | Family: Asteraceae
Venus Fly Trap () | Scientific Names: Dionaea muscipula | Family: Droseraceae
Verona Fern (Bold Sword Fern, Nephrolepis Biserrata, Verona Lace Fern) | Scientific Names: Nephrolepis biserrata | Family: Dryopteridaceae
Verona Lace Fern (Bold Sword Fern, Nephrolepis Biserrata, Verona Fern) | Scientific Names: Nephrolepis biserrata | Family: Dryopteridaceae
Vining Peperomia () | Scientific Names: Peperomia serpens variegata | Family: Piperaceae
Violet Slipper Gloxinia (bright eyes) | Scientific Names: Sinningia speciosa | Family: Gesneriaceae
Waffle Plant (Purple Waffle Plant) | Scientific Names: Hemigraphis exotica | Family: Acanthaceae
Walking Anthericum (Ribbon Plant, Spider Plant, Spider Ivy) | Scientific Names: Chlorophytum comosum | Family: Liliaceae
Wandering Jew (Speedy Henry, Variegated Wandering Jew) | Scientific Names: Tradescantia flumeninsis | Family: Commelinaceae
Washington Hawthorn (Haws, Pirliteiro, Red Hawthorn) | Scientific Names: Crataegus species | Family: Rosaceae
Water Hickory () | Scientific Names: Carya aquatica | Family: Juglandaceae
Watermelon Begonia () | Scientific Names: Peperomia argyreia | Family: Piperaceae
Watermelon Peperomia (Watermelon Begonia) | Scientific Names: Peperomia argyreia | Family: Piperaceae
Watermelon Pilea (Watermelon Plant, Aluminum Plant) | Scientific Names: Pilea cadieri | Family: Urticaceae
Wax Plant (Hindu Rope Plant, Porcelain Flower) | Scientific Names: Hoya carnosa 'krinkle kurl' | Family: Asclepiadaceae
Wax Rosette (Maroon Chenille Plant, Painted Lady, Copper Rose, Blue Echeveria, Plush Plant) | Scientific Names: Echeveria derenbergii | Family: Crassulaceae
Weeping Bottlebrush (Bottlebrush, Prickly Bottlebrush, Crimson Bottlebrush) | Scientific Names: Callistemon species | Family: Myrtaceae
